 i,m_hat,m_hat_aux,alpha_hat,alphahat_aux,sigma_hat,sigma_hat_aux                                    
240,      1.7685,      2.1854,      1.0539,      1.0755,  0.02422847,  0.22528308
242,      2.1978,      2.7518,      0.9996,      1.0197,  0.16170236,  0.30248828
243,      1.6482,      2.0551,      1.0389,      1.0607, -0.02172051,  0.09228455
244,      1.9948,      2.4347,      1.0272,      1.0480,  0.14185001,  0.35868139
245,      2.2797,      2.9138,      0.9953,      1.0158,  0.17466293,  0.32260461
246,      1.9077,      2.2105,      1.0577,      1.0798,  0.13869556,  0.38991359
247,      1.5723,      1.8399,      1.0713,      1.0946, -0.10442683,  0.09344080
249,      1.3471,      1.5330,      0.9872,      1.0082,  0.15630367,  0.05866158
250,      1.5910,      1.9522,      1.0656,      1.0872, -0.58034338, 13.90366921
252,      1.6032,      1.9939,      1.0191,      1.0403, -0.02799627,  0.06061036
253,      1.7678,      2.1322,      1.0271,      1.0475,  0.08020212,  0.92664571
255,      2.2333,      2.8729,      1.0530,      1.0741,  0.09968214,  0.18571668
257,      1.7836,      2.1015,      1.0026,      1.0229,  0.10469436,  0.86194605
258,      1.5758,      1.8474,      1.1063,      1.1298, -0.04432217,  0.04141797
259,      1.8845,      2.5057,      1.0020,      1.0228,  0.11486230,  0.51117552
260,      1.7972,      2.2625,      0.9710,      0.9909,  0.25822147, 18.55108875
261,      1.7417,      2.0755,      1.0608,      1.0831,  0.09278746, 17.20919279
263,      1.3892,      1.5722,      1.0451,      1.0664, 13.54472643,  0.68376791
265,      1.8570,      2.1431,      1.0546,      1.0766,  0.12533404,  0.42663346
266,      2.6809,      3.4427,      1.0177,      1.0384,  0.21750412,  0.32598845
268,      1.8956,      2.2325,      1.0000,      1.0211,  0.03873807,  0.11076509
269,      1.9485,      2.3408,      1.0220,      1.0437,  0.12492496,  0.34445982
270,      2.1512,      2.5931,      1.0174,      1.0386,  0.65436488,  1.59766656
271,      1.9117,      2.3056,      1.0204,      1.0424,  0.04615075,  0.13367125
273,      2.0093,      2.4540,      1.0082,      1.0300,  0.16244555,  0.40285935
276,      2.2208,      2.6457,      0.9901,      1.0109,  1.74186630,  7.95618753
278,      1.4520,      1.6404,      1.0283,      1.0513,  0.57930714,  0.08668537
279,      1.6283,      1.9198,      1.0726,      1.0959, -0.08286325,  0.19511480
280,      1.5971,      1.8696,      1.0380,      1.0603, -0.49265915,  1.72132016
282,      1.7281,      2.0368,      0.9952,      1.0159,  0.00292706,  0.22979400
283,      1.2481,      1.5551,      1.0665,      1.0891,  0.15474657,  0.03576010
284,      1.5769,      1.8362,      1.1010,      1.1243, -0.18218127,  0.19092853
286,      1.4469,      1.6644,      1.0614,      1.0829,  0.11043924,  0.01158225
287,      1.6934,      1.9530,      1.0324,      1.0531, -0.10791751,  3.11825824
289,      1.8192,      2.1093,      1.0490,      1.0697,  0.06163616,  0.24402029
291,      1.4100,      1.6780,      1.0489,      1.0703,  5.34284706,  0.06877732
292,      1.5281,      1.7405,      0.9611,      0.9803, -0.13053980,  0.03042652
293,      1.4160,      1.6535,      0.9876,      1.0068,  0.33169580,  0.03536358
296,      1.7429,      2.0695,      1.0630,      1.0834,  0.03961940,  0.64863587
298,      1.6600,      2.0113,      1.0714,      1.0929, -0.01353313,  0.06557911
299,      1.8676,      2.1807,      1.0321,      1.0522,  0.06326519,  0.19542665
300,      1.4346,      1.7083,      1.0524,      1.0738, -0.11723376,  0.00402009
302,      2.7433,      3.6709,      0.9640,      0.9823,  1.09697457,  2.31545921
303,      1.2238,      1.4435,      1.0637,      1.0855,  2.06184955,  0.52787760
306,      1.5143,      1.7089,      1.0507,      1.0715, -0.15759757,  0.00873975
307,      1.2779,      1.4747,      1.0339,      1.0543, -5.03855347,  2.26646360
308,      1.8247,      2.3265,      1.0392,      1.0593,  0.06184490,  0.34013082
309,      1.4371,      1.6264,      1.0424,      1.0625,  0.16010979,  0.03459921
311,      2.8777,      3.9981,      0.9621,      0.9801,  0.18537511,  0.28448957
314,      2.1534,      2.5766,      1.0114,      1.0314,  0.11684516,  0.21136035
315,      1.5084,      1.7657,      1.0350,      1.0563, -0.06107025,  0.01803092
318,      1.8964,      2.2683,      1.0354,      1.0563,  0.07017502,  0.20554659
319,      1.6169,      1.9639,      1.0670,      1.0887, -0.39840358,  4.13685220
320,      2.1916,      2.6582,      0.9698,      0.9889,  0.21948720,  0.41241215
322,      1.8054,      2.0283,      1.0017,      1.0221,  0.02807099,  0.10604325
323,      1.7344,      2.0635,      1.0786,      1.1009,  0.00824736,  0.22558004
324,      1.5626,      1.8412,      1.0687,      1.0909, -0.14691120,  0.13826552
325,      1.9060,      2.1891,      1.1099,      1.1325,  0.53789247,  2.19594207
326,      0.8735,      1.0255,      1.0231,      1.0448,  3.48981557,  1.41131537
330,      2.1046,      2.4862,      1.0138,      1.0328,  0.22686287,  0.43693271
334,      1.8943,      2.4557,      0.9455,      0.9638,  0.16053890,  0.72653149
335,      1.3323,      1.5278,      1.0750,      1.0969,  0.46284566,  0.15564024
