   i,         t_i,      X(t_i)
   0,  0.00000000,  0.10000000
   1,  0.50000000,  0.13873509
   2,  1.00000000,  0.13873509
   3,  1.50000000,  0.13873509
   4,  2.00000000,  0.13873509
   5,  2.50000000,  0.13873509
   6,  3.00000000,  0.13873509
   7,  3.50000000,  0.13873509
   8,  4.00000000,  0.13873509
   9,  4.50000000,  0.13873509
  10,  5.00000000,  0.13873509
  11,  5.50000000,  0.13873509
  12,  6.00000000,  0.13873509
  13,  6.50000000,  0.13873509
  14,  7.00000000,  0.13873509
  15,  7.50000000,  0.13873509
  16,  8.00000000,  0.13873509
  17,  8.50000000,  0.13873509
  18,  9.00000000,  0.13873509
  19,  9.50000000,  0.13873509
  20, 10.00000000,  0.13873509
  21, 10.50000000,  0.13873509
  22, 11.00000000,  0.13873509
  23, 11.50000000,  0.13873509
  24, 12.00000000,  0.13873509
  25, 12.50000000,  0.13873509
  26, 13.00000000,  0.13873509
  27, 13.50000000,  0.13873509
  28, 14.00000000,  0.13873509
  29, 14.50000000,  0.13873509
  30, 15.00000000,  0.13873509
  31, 15.50000000,  0.13873509
  32, 16.00000000,  0.13873509
  33, 16.50000000,  0.13873509
  34, 17.00000000,  0.13873509
  35, 17.50000000,  0.13873509
  36, 18.00000000,  0.13873509
  37, 18.50000000,  0.13873509
  38, 19.00000000,  0.13873509
  39, 19.50000000,  0.13873509
  40, 20.00000000,  0.13873509
  41, 20.50000000,  0.13873509
  42, 21.00000000,  0.13873509
  43, 21.50000000,  0.13873509
  44, 22.00000000,  0.13873509
  45, 22.50000000,  0.13873509
  46, 23.00000000,  0.13873509
  47, 23.50000000,  0.13873509
  48, 24.00000000,  0.13873509
  49, 24.50000000,  0.13873509
  50, 25.00000000,  0.13873509
  51, 25.50000000,  0.13873509
  52, 26.00000000,  0.13873509
  53, 26.50000000,  0.13873509
  54, 27.00000000,  0.13873509
  55, 27.50000000,  0.13873509
  56, 28.00000000,  0.13873509
  57, 28.50000000,  0.13873509
  58, 29.00000000,  0.13873509
  59, 29.50000000,  0.13873509
  60, 30.00000000,  0.13873509
  61, 30.50000000,  0.13873509
  62, 31.00000000,  0.13873509
  63, 31.50000000,  0.13873509
  64, 32.00000000,  0.13873509
