 i,t_i,x_milstein(t_i)                                                                               
 967,     15.0938,      1.0158
 968,     15.1094,      1.0267
 969,     15.1250,      1.0409
 970,     15.1406,      1.0468
 971,     15.1562,      1.0282
 972,     15.1719,      1.0286
 973,     15.1875,      1.0341
 974,     15.2031,      1.0359
 975,     15.2188,      1.0398
 976,     15.2344,      1.0496
 977,     15.2500,      1.0276
 978,     15.2656,      1.0088
 979,     15.2812,      1.0059
 980,     15.2969,      1.0144
 981,     15.3125,      1.0304
 982,     15.3281,      1.0168
 983,     15.3438,      1.0266
 984,     15.3594,      1.0387
 985,     15.3750,      1.0527
 986,     15.3906,      1.0292
 987,     15.4062,      1.0613
 988,     15.4219,      1.0556
 989,     15.4375,      1.0672
 990,     15.4531,      1.0810
 991,     15.4688,      1.0711
 992,     15.4844,      1.0582
 993,     15.5000,      1.0399
 994,     15.5156,      1.0469
 995,     15.5312,      1.0463
 996,     15.5469,      1.0122
 997,     15.5625,      1.0232
 998,     15.5781,      1.0408
 999,     15.5938,      1.0336
1000,     15.6094,      1.0219
1001,     15.6250,      1.0164
1002,     15.6406,      1.0289
1003,     15.6562,      1.0293
1004,     15.6719,      1.0279
1005,     15.6875,      1.0023
1006,     15.7031,      0.9980
1007,     15.7188,      1.0251
1008,     15.7344,      0.9987
1009,     15.7500,      0.9989
1010,     15.7656,      0.9949
1011,     15.7812,      0.9874
1012,     15.7969,      0.9778
1013,     15.8125,      0.9713
1014,     15.8281,      0.9681
1015,     15.8438,      0.9593
1016,     15.8594,      0.9719
1017,     15.8750,      0.9847
1018,     15.8906,      0.9830
1019,     15.9062,      0.9707
1020,     15.9219,      0.9594
1021,     15.9375,      0.9672
1022,     15.9531,      0.9602
1023,     15.9688,      0.9669
1024,     15.9844,      0.9775
