 i,m_hat,m_hat_aux,alpha_hat,alphahat_aux,sigma_hat,sigma_hat_aux                                    
  4,      1.9909,      2.3435,      1.0257,      1.0852,  1.43211323,  2.44642364
  5,      1.5004,      1.7711,      1.1115,      1.1930, -0.12813587,  0.09298385
  8,      2.7270,      3.4986,      1.0204,      1.0714,  1.35814449,  1.64478879
  9,      1.6591,      2.0288,      1.0188,      1.1002, -0.03029155,  0.07986715
 10,      1.8464,      2.2822,      1.0323,      1.1095,  0.05802159,  0.63421486
